total agg sel cond group epoch_num toy changes_made
0.0 0.091836734693877556 0.0 0.81927710843373491 0.0 300.0 True |changed word embeddings to include the column embeddings|
0.11666666666666667 0.17666666666666667 0.65454545454545454 0.81927710843373491 0.0 300.0 True |changed word embeddings to include the column embeddings|
0.95999999999999996 0.0 0.0 0.0 0.84615384615384615 300.0 True |changed group accuracy|
0.16 0.17333333333333334 0.64727272727272722 0.0 0.0 300.0 True |fixing agg accuracy|
0.029999999999999999 0.036666666666666667 0.65090909090909088 0.0 0.0 300.0 True |fixing agg accuracy|
0.029999999999999999 0.040000000000000001 0.6581818181818182 0.0 0.0 300.0 True |fixing agg accuracy|
0.029999999999999999 0.040000000000000001 0.6581818181818182 0.0 0.0 300.0 True |fixing agg accuracy|
0.16666666666666666 0.17999999999999999 0.6581818181818182 0.0 0.0 300.0 True |moving agg accuracy back to before|
