total agg sel cond group having orderby limit
0.00033014196104324861 0.0021558872305140961 0.020357585413347496 0.0 0.0 0.0 0.0 0.0
0.0 0.0016507098052162431 0.029033960936125286 0.0 0.0 0.0 0.0 0.0
0.0 0.00066028392208649722 0.045684362585771035 0.0012982797792924375 0.0 0.0 0.0 0.0
0.00066028392208649722 0.0079234070650379667 0.073587621446563514 0.0042483660130718951 0.0 0.0 0.0 0.018478260869565218
0.03037306041597887 0.11389897655992076 0.12023939064200218 0.0205078125 0.010276172125883108 0.0 0.00079239302694136295 0.23804463336875664
0.039286893364146584 0.13898976559920767 0.14814814814814814 0.052547260493431593 0.061107574793125397 0.0 0.010276679841897233 0.40277777777777779
0.037636183558930343 0.13766919775503467 0.17537037037037037 0.048231511254019289 0.080840229153405468 0.0 0.2221356196414653 0.64970059880239517
0.038791680422581708 0.13535820402773194 0.20855614973262032 0.041666666666666664 0.12208936438011328 0.0 0.34384858044164041 0.62939297124600635
0.036975899636843841 0.13832948167712117 0.22917053256633885 0.044552845528455287 0.14908401768793431 0.0 0.38752959747434884 0.70405982905982911
0.0407725321888412 0.13882469461868605 0.25375626043405675 0.06747066492829204 0.16677275620623808 0.0 0.40078431372549017 0.76408076514346435
0.041267745130406076 0.13898976559920767 0.2655440414507772 0.076320939334637961 0.17843388960205392 0.0 0.39285714285714285 0.7021505376344086
0.041762958071970946 0.14113568834598877 0.29209940652818989 0.082898172323759789 0.19371391917896089 0.0 0.39729299363057324 0.60151187904967607
0.042423241994057448 0.1419610432485969 0.3088616981831665 0.097465886939571145 0.23510570147341447 0.0 0.45548489666136727 0.76831896551724133
0.044239022779795314 0.14427203697589963 0.32678769914783251 0.13316011692107826 0.25719769673704412 0.0 0.47151898734177217 0.84120171673819744
0.043743809838230438 0.14757345658633211 0.34425925925925926 0.09354628422425032 0.28543938422065429 0.0 0.48922585794094176 0.79392624728850325
0.046550016507098051 0.14806866952789699 0.34772137828825489 0.14360313315926893 0.31558691468890315 0.0 0.50797448165869219 0.84740259740259738
0.048530868273357543 0.14559260482007264 0.35731503801223807 0.17150309748940332 0.33247918001281229 0.0 0.53274760383386577 0.83947939262472882
0.049521294156487289 0.1535160118851106 0.37615869484612535 0.19249592169657423 0.31555269922879176 0.0 0.530775379696243 0.76789587852494579
0.051337074942225155 0.14872895344998349 0.39270505461951488 0.21307189542483659 0.35539845758354754 0.0 0.53913738019169333 0.79481641468682507
0.055959062396830635 0.15533179267084846 0.42033017992951216 0.23320287018917155 0.37869062901155326 0.0 0.55354330708661414 0.85228480340063761
0.059425552987784749 0.15582700561241333 0.43137254901960786 0.25686274509803919 0.40204865556978231 0.0 0.54030327214684759 0.86023835319609965
0.061736546715087486 0.1521954440409376 0.45015604920139524 0.26969597907813009 0.41361592806679515 0.0 0.54900398406374507 0.76972972972972975
0.062066688676130737 0.15615714757345658 0.44528650646950091 0.26889393447940318 0.42802056555269924 0.0 0.58054226475279103 0.85822510822510822
0.062892043578738857 0.15434136678771873 0.46097065879313526 0.28594771241830064 0.44743589743589746 0.0 0.59265175718849838 0.77415852334419111
0.067183889072301092 0.16110927698910532 0.46350974930362115 0.32527759634225994 0.45699614890885754 0.0 0.62430055955235808 0.86753528773072752
0.067348960052822718 0.15731264443710796 0.46172381835032439 0.35068314899154196 0.4440874035989717 0.0 0.62239999999999995 0.85776330076004348
0.068504456916474082 0.16143941895014857 0.48162583518930957 0.34401569653368214 0.46336760925449871 0.0 0.63149480415667469 0.87715517241379315
0.074612083195774184 0.1609442060085837 0.49120533234586189 0.36604514229636897 0.4399744572158365 0.0 0.63680000000000003 0.83913043478260874
0.076758005942555302 0.16044899306701882 0.50807799442896939 0.40392156862745099 0.47107969151670953 0.0 0.66613418530351443 0.8829902491874323
0.076758005942555302 0.16408055463849455 0.52459625023204015 0.40495598304532116 0.50994227068633735 0.0 0.65103338632750396 0.87647690655209454
0.081049851436117537 0.16275998679432155 0.52479108635097493 0.43517915309446253 0.52570694087403602 0.0 0.6512 0.86862106406080353
0.082535490260812153 0.16325519973588642 0.53886106473752549 0.43071895424836604 0.51992287917737789 0.0 0.65335463258785942 0.87839305103148746
0.087652690656982502 0.16408055463849455 0.54781319495922909 0.46146309601567603 0.49326491340602951 0.0 0.67200000000000004 0.88478260869565217
0.085671838890723009 0.16391548365797293 0.5508160237388724 0.46349413298565839 0.51863753213367614 0.0 0.6770583533173461 0.88260869565217392
0.087322548695939251 0.16474083856058105 0.55780293189831143 0.44860117111255693 0.54627249357326479 0.0 0.69199999999999995 0.88913043478260867
0.089468471442720368 0.16424562561901618 0.5677131710941854 0.48616085965483558 0.54884318766066842 0.0 0.69040000000000001 0.88925081433224751
0.092109607131066362 0.16474083856058105 0.57882047477744802 0.51143043762246898 0.53235105701473417 0.0 0.68130990415335468 0.88828633405639912
0.091944536150544737 0.16540112248266756 0.58191252779836922 0.49656974844821955 0.55077120822622105 0.0 0.7056 0.86847826086956526
0.089138329481677117 0.16408055463849455 0.5714285714285714 0.45363489499192244 0.55526992287917742 0.0 0.69999999999999996 0.87608695652173918
